AppID,Name,ReleaseYear,Genre,Price,DiscountPercent,TotalReviews_SteamSpy,EstimatedRevenue_SteamSpy,TotalReviews_AllLanguages,EstimatedRevenue_AllLanguages
957930,Intelligence: Underwater Kingdom,2018,Deckbuilding,$3.99,0%,10,"$1,995.00",11,"$2,194.50"
1272330,Easy puzzle: Bridges,2020,Deckbuilding,$3.99,0%,12,"$2,394.00",12,"$2,394.00"
1373630,Ragnar's Chinese Memory Game,2020,Deckbuilding,$5.99,0%,26,"$7,787.00",29,"$8,685.50"
1653870,Hidden Shapes Old West - Jigsaw Puzzle Game,2021,Deckbuilding,$1.99,0%,38,"$3,781.00",38,"$3,781.00"
1604210,Grid Slayer,2022,Deckbuilding,$11.99,0%,29,"$17,385.50",29,"$17,385.50"
2590810,Vox Populi: Poland 2023,2023,Deckbuilding,$4.99,0%,50,"$12,475.00",60,"$14,970.00"
1611420,Sea Horizon,2022,Deckbuilding,$14.99,0%,175,"$131,162.50",176,"$131,912.00"
909830,Color by Number - Pixel Draw,2018,Deckbuilding,$1.99,0%,23,"$2,288.50",23,"$2,288.50"
1343550,Conflict Area,2020,Deckbuilding,$3.99,0%,47,"$9,376.50",47,"$9,376.50"
1680300,Spades,2021,Deckbuilding,$2.99,0%,11,"$1,644.50",13,"$1,943.50"
962050,Puzzles for smart: Birds,2018,Deckbuilding,$3.99,0%,20,"$3,990.00",20,"$3,990.00"
1704120,IT Startup: Tech Fodder,2024,Deckbuilding,$5.99,0%,27,"$8,086.50",28,"$8,386.00"
3438900,Azazel Gamble 阿撒兹勒赌局,2025,Deckbuilding,$9.99,0%,30,"$14,985.00",33,"$16,483.50"
3078190,Decipher The Deck,2024,Deckbuilding,$4.99,0%,17,"$4,241.50",17,"$4,241.50"
2196770,Spartacus: Born to be free,2022,Deckbuilding,$2.99,0%,14,"$2,093.00",14,"$2,093.00"
1547620,JezzBall Atomic,2022,Deckbuilding,$5.99,0%,15,"$4,492.50",16,"$4,792.00"
