AppID,Name,ReleaseYear,Genre,Price,DiscountPercent,TotalReviews_SteamSpy,EstimatedRevenue_SteamSpy,TotalReviews_AllLanguages,EstimatedRevenue_AllLanguages
2607200,ONE BUTTON RUN,2023,Indie,$2.99,0%,12,"$1,794.00",13,"$1,943.50"
1720960,HyperFleet,2021,Indie,$4.99,0%,20,"$4,990.00",20,"$4,990.00"
1891940,Dr. Science quest,2022,Indie,$4.99,0%,16,"$3,992.00",16,"$3,992.00"
1713070,Bow Man,2021,Indie,$4.99,0%,8,"$1,996.00",18,"$4,491.00"
2944960,Pirarucu's Money Rush,2024,Indie,$3.98,0%,25,"$4,975.00",27,"$5,373.00"
512640,Final Quest,2016,Indie,$1.99,0%,198,"$19,701.00",200,"$19,900.00"
810330,Fast Food Rampage,2018,Indie,$3.99,0%,19,"$3,790.50",19,"$3,790.50"
1333270,Crazy Derby Racing,2021,Indie,$4.99,0%,15,"$3,742.50",16,"$3,992.00"
1586300,Jacob The Farmer,2021,Indie,$4.99,0%,83,"$20,708.50",86,"$21,457.00"
1313530,FM,2020,Indie,$4.99,0%,70,"$17,465.00",70,"$17,465.00"
1544250,Trickery&Strategy,2021,Indie,$9.99,0%,12,"$5,994.00",12,"$5,994.00"
3008240,How We Die,2024,Indie,$14.99,0%,21,"$15,739.50",21,"$15,739.50"
